"AISID";"USRCHONumber";"ObjectNameOnDoc";"EnsembleNameOnDoc";"SecurityStatus";"Category";"ObjectType";"global_id";
"Идентификатор в АИС Мосгорнаследия";"Номер ЕГРОКН";"Наименование объекта по документам";"Наименование ансамбля по документам";"Охранный статус";"Категория объекта";"Вид объекта недвижимости";"global_id";
"abed8415-56f9-11e2-965f-005056806bb6";"771440835260006";"Территория культурного слоя ""Семеновской слободы"", XVII-XVIII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407667";
"abed84aa-56f9-11e2-965f-005056806bb6";"771441198390006";"""3–й Спас–Тушинский курганный могильник"", XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407668";
"abed8519-56f9-11e2-965f-005056806bb6";"771440981750006";"Территория культурного слоя ""Кадашевской слободы"", XVII в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407669";
"abed8524-56f9-11e2-965f-005056806bb6";"771441198480006";"""1–е Пенягинское селище"", XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407670";
"abed8540-56f9-11e2-965f-005056806bb6";"771441200480006";"Сетуньское городище I-III вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407672";
"abed857a-56f9-11e2-965f-005056806bb6";"771440984540006";"Село Подкопаево (место древнего поселения), XV-XVII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407673";
"abed8590-56f9-11e2-965f-005056806bb6";"771741198560006";"""1–й и 2–й Спас–Тушинские курганы–могильники"", XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407674";
"abed85ea-56f9-11e2-965f-005056806bb6";"";"Территория культурного слоя ""Денежной слободы"" XVI-XVII вв. н.э. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623715";
"ac817f20-c7ea-11e8-a167-005056806bb6";"";"Селище ""Соколиная гора 1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623716";
"af18f98f-e4af-11e7-9c1f-005056806bb6";"";"Селище ""Ботаково 1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623717";
